Município;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
110001;4376;4401;4232;4485;4436;3801;3655;3685;3266;2995;2868;2622;2516;2420;2131;1932
110002;27434;27867;30986;32858;32210;30429;29017;26412;25659;25228;21323;19727;18481;16718;14928;13352
110003;921;951;982;946;849;829;783;720;616;689;551;560;498;529;467;446
110004;26140;26633;29831;27938;26498;25655;23895;23270;20566;19335;17384;16146;16016;15682;14407;12998
110005;3220;3280;3588;3697;3303;3981;3007;3584;2562;2438;2031;1992;2306;2083;2149;1866
110006;3356;3169;3299;3405;3204;2971;2735;2804;3021;2628;2738;2555;2347;2535;2069;2099
110007;1767;1482;1666;1643;1524;1391;1507;1261;1175;1076;1019;945;1002;954;791;497
110008;1242;1377;1696;1433;1468;1310;1306;1156;1214;1132;1047;1081;1049;807;626;622
110009;7252;7200;7322;7445;6694;6352;6135;6103;5825;5623;4988;4381;4891;4705;4211;3644
110010;5396;5229;5782;5769;5782;5449;5452;4866;4319;4122;4003;3373;3327;3583;2780;2718
110011;13792;13777;14338;14610;15100;15024;13459;12690;11773;11767;11273;11052;10706;9432;9213;8688
110012;40823;40908;42349;43218;42200;42302;38975;36687;33856;32773;28773;27143;26265;25890;23343;22238
110013;4598;4500;4532;4464;4491;4183;4230;3884;3446;3553;3398;3314;3425;2855;2243;2002
110014;2407;2238;2378;2426;2235;2229;2014;1875;1835;1605;869;1312;1332;1271;1112;891
110015;8090;8151;8500;8570;8281;8807;8632;7298;6118;7046;6160;5627;5581;5127;4941;4947
110018;13545;13495;14795;15035;14878;14234;13969;14252;12377;11423;10284;8698;9037;8243;7062;6597
110020;212749;223482;252007;271847;282712;293932;293672;271398;218071;174135;151569;141569;133420;129717;112988;109096
110025;3440;3427;3641;3839;3875;3353;3088;3243;2841;2642;2461;2414;2459;1976;1966;1917
110026;1061;905;909;802;917;880;736;711;478;530;537;377;351;315;239;520
110028;16347;15355;17258;17040;16964;16384;13903;12903;12737;13448;10838;9347;7775;7812;6963;6761
110029;1437;1614;1765;1876;1733;1674;1817;1706;1555;1514;1705;1403;1117;1018;777;862
110030;29905;29898;32225;33326;32322;29474;28391;27078;23626;23491;21366;18784;17277;17537;15223;13087
110032;4217;4164;4351;3854;4254;4651;2993;3425;2717;2173;1784;1666;1663;1470;1228;1252
110033;2408;2528;2772;2844;3053;3089;2671;2326;2072;1935;1885;1655;1702;1434;1139;983
110034;1838;1741;1878;2016;2003;2055;2864;2681;2442;1950;1637;1442;1490;1435;1375;1606
110037;1349;1400;1134;1390;1246;1085;1114;1053;988;923;821;766;675;690;605;605
110040;2043;2157;2307;2594;2687;2567;2439;2050;1852;1812;1693;1453;1104;1130;920;840
110045;5766;5605;6945;5961;5376;5650;5892;5126;4855;4671;4574;4238;3297;3318;3176;2582
110050;1002;928;976;1043;1004;1064;922;810;781;703;771;790;742;549;590;291
110060;727;786;850;768;773;653;664;609;524;527;534;453;505;418;336;336
110070;1301;1229;1171;1160;1251;1138;1111;993;829;701;781;779;831;470;595;526
110080;3179;3225;3459;3971;2849;2058;2081;2008;1911;1837;1430;1357;1230;1202;975;1057
110090;721;610;613;552;528;636;558;481;476;476;440;394;414;329;298;253
110092;4733;4110;4431;3493;3846;3624;4447;3367;3109;2998;2568;2267;1324;1720;1396;955
110094;2225;2723;3451;3800;3705;3535;3404;3077;2458;2425;2118;1404;1318;1127;1000;452
110100;888;775;885;838;866;862;799;716;637;666;625;683;506;494;497;476
110110;1795;1846;1957;1854;2032;1911;1826;1330;1331;1338;1318;659;1207;778;753;792
110120;1167;1133;1156;1159;1152;1092;1010;1037;986;1033;982;826;825;710;545;527
110130;1681;1581;1695;1673;1626;1604;1531;1343;1391;1283;1188;1040;1032;1004;976;1068
110140;1891;1944;2155;2415;2275;2424;2138;1874;1673;1553;1547;1477;1528;1180;1095;1202
110143;661;632;669;631;503;531;582;512;504;462;484;418;450;254;292;275
110145;960;982;932;886;938;854;850;590;618;488;477;462;387;315;234;212
110146;997;996;893;868;1038;874;770;716;682;686;593;690;460;507;360;289
110147;597;484;469;447;459;489;456;519;493;481;447;140;474;332;311;241
110148;708;671;681;588;627;560;569;516;403;394;360;356;361;317;326;261
110149;2181;2138;2278;2236;2204;2417;2233;1822;1860;1776;1762;1763;1904;1638;1415;1263
110150;1805;1741;1781;1761;1657;1404;1313;1189;1072;973;982;829;756;670;584;603
110155;642;659;669;693;693;642;604;519;475;455;442;387;420;442;391;327
110160;1317;1276;1332;1260;1224;1078;990;929;878;905;749;757;655;548;558;499
110170;1508;1439;1296;1210;1133;1105;1150;1100;1111;930;810;769;717;670;660;479
110175;962;947;923;874;886;842;827;747;584;573;597;490;469;410;335;385
110180;910;802;827;818;862;793;786;685;615;636;591;609;626;563;495;511
120001;1183;1213;1296;1272;1188;1211;901;1181;1011;944;832;768;840;843;675;527
120005;719;168;447;411;169;350;377;373;351;368;299;278;249;253;214;185
120010;2933;3051;2849;2671;2450;2026;2096;1823;1470;1569;1415;1038;1076;872;648;535
120013;2641;1976;1973;1592;1446;1560;1105;935;835;874;785;721;512;485;417;557
120017;815;1106;1001;808;1041;1099;1118;1288;785;754;948;570;543;622;382;340
120020;10807;10399;11350;11591;10946;10483;9893;9496;8255;6712;5757;4944;4738;4035;3743;3405
120025;1942;2025;1936;1847;1797;1606;1559;1385;1116;1158;1135;1142;1052;1036;782;556
120030;2446;2501;1896;1858;2176;1807;1905;1791;1556;1398;1284;1154;1104;1019;882;808
120032;510;532;531;387;351;507;474;471;233;176;8;2;2;2;67;69
120033;1147;990;1156;1100;1015;835;835;947;689;579;431;432;426;325;231;236
120034;1430;1279;1083;472;506;459;543;930;886;613;194;187;162;121;129;113
120035;1473;1180;949;1135;1131;971;1210;846;763;1152;943;810;704;414;376;364
120038;1475;1594;1811;2197;1903;1621;1512;1192;1113;1281;1087;454;713;744;667;657
120039;722;762;696;470;464;487;492;457;489;332;21;228;176;18;283;285
120040;134453;133688;149343;151743;143953;145119;138547;128332;117553;108180;98113;93785;83721;76925;72276;73300
120042;883;760;786;810;778;685;813;747;817;482;400;463;291;215;201;133
120043;264;258;239;208;210;207;200;208;207;4;97;89;3;81;82;81
120045;2924;3236;3355;2721;2644;2717;3027;3186;2859;2609;2296;2131;1750;1067;923;922
120050;3222;3303;3187;3349;3078;2900;2830;2412;2302;1951;1603;1567;1409;1412;1073;994
120060;2947;2975;2603;2594;2329;1909;1105;1886;787;770;764;1511;1423;1361;1375;1060
120070;1063;929;1035;1095;1212;946;960;1445;1123;1038;682;986;440;581;555;549
120080;1359;1808;1579;1273;1062;647;840;817;794;674;464;455;377;228;96;211
130002;1061;597;156;1344;662;539;286;532;359;584;77;32;18;13;9;8
130006;535;480;624;556;547;477;435;379;366;373;390;246;211;206;213;9
