Código;Espacialidades;Índice de Gini 2000;Índice de Gini 2010;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;% de pobres 2010
5200050;Abadia de Goiás;0,5;0,42;0,708;0,687;0,83;0,622;6,18
3100104;Abadia dos Dourados;0,5;0,47;0,689;0,693;0,839;0,563;7,94
5200100;Abadiânia;0,54;0,43;0,689;0,671;0,841;0,579;8,45
3100203;Abaeté;0,58;0,54;0,698;0,72;0,848;0,556;6,69
1500107;Abaetetuba;0,6;0,53;0,628;0,579;0,798;0,537;38,95
2300101;Abaiara;0,6;0,48;0,628;0,54;0,748;0,612;44,64
2900108;Abaíra;0,53;0,46;0,603;0,577;0,746;0,51;31,74
2900207;Abaré;0,55;0,55;0,575;0,533;0,776;0,46;47,77
4100103;Abatiá;0,43;0,44;0,687;0,676;0,804;0,596;9,66
4200051;Abdon Batista;0,56;0,45;0,694;0,66;0,812;0,625;16,39
4200101;Abelardo Luz;0,72;0,53;0,696;0,684;0,852;0,578;19,55
1500131;Abel Figueiredo;0,52;0,57;0,622;0,625;0,8;0,481;31,19
3100302;Abre Campo;0,51;0,52;0,654;0,646;0,823;0,525;23,33
2600054;Abreu E Lima;0,46;0,45;0,679;0,625;0,791;0,632;20,2
1700251;Abreulândia;0,47;0,71;0,665;0,7;0,835;0,502;26,79
3100401;Acaiaca;0,55;0,48;0,63;0,61;0,823;0,499;26,53
2100055;Açailândia;0,62;0,56;0,672;0,643;0,785;0,602;25,17
2900306;Acajutiba;0,56;0,57;0,582;0,56;0,723;0,487;48,78
1500206;Acará;0,5;0,53;0,506;0,517;0,757;0,332;53,47
2300150;Acarape;0,51;0,43;0,606;0,559;0,709;0,562;32,88
2300200;Acaraú;0,64;0,6;0,601;0,554;0,758;0,517;51,22
2400109;Acari;0,47;0,49;0,679;0,633;0,779;0,634;20,79
2200053;Acauã;0,66;0,5;0,528;0,517;0,692;0,411;49,62
4300034;Aceguá;0,54;0,53;0,687;0,703;0,852;0,541;13,65
2300309;Acopiara;0,71;0,57;0,595;0,563;0,724;0,517;45,21
5100102;Acorizal;0,57;0,5;0,628;0,594;0,816;0,51;28,54
1200013;Acrelândia;0,63;0,54;0,604;0,584;0,808;0,466;36,56
5200134;Acreúna;0,57;0,53;0,686;0,71;0,822;0,553;8,08
2400208;Açu;0,59;0,53;0,661;0,641;0,795;0,568;22,16
3100500;Açucena;0,55;0,48;0,61;0,595;0,844;0,451;30,7
3500105;Adamantina;0,55;0,51;0,79;0,772;0,852;0,75;2,57
5200159;Adelândia;0,53;0,43;0,702;0,664;0,836;0,622;10,89
3500204;Adolfo;0,38;0,38;0,73;0,71;0,844;0,648;3,43
4100202;Adrianópolis;0,57;0,53;0,667;0,644;0,817;0,563;22,59
2900355;Adustina;0,5;0,54;0,546;0,526;0,718;0,432;49,98
2600104;Afogados da Ingazeira;0,65;0,56;0,657;0,623;0,807;0,565;31,66
2400307;Afonso Bezerra;0,57;0,53;0,585;0,56;0,713;0,502;40
3200102;Afonso Cláudio;0,54;0,5;0,667;0,661;0,825;0,544;19,02
2100105;Afonso Cunha;0,52;0,59;0,529;0,471;0,725;0,434;66,8
2600203;Afrânio;0,57;0,53;0,588;0,542;0,761;0,493;46,77
1500305;Afuá;0,49;0,66;0,489;0,485;0,774;0,311;64,88
2600302;Agrestina;0,59;0,48;0,592;0,581;0,76;0,47;33,9
2200103;Agricolândia;0,45;0,49;0,599;0,55;0,742;0,526;41,1
4200200;Agrolândia;0,46;0,36;0,725;0,727;0,827;0,633;3,13
